,City/Town,Country/Territory,Continent,Notes
0,Abidjan (former capital; still hosts some government offices),Ivory Coast (Côte d'Ivoire),Africa,Abidjan is the largest city in Ivory Coast and is officially designated as the economic capital.
1,Yamoussoukro (de jure),Ivory Coast (Côte d'Ivoire),Africa,Abidjan is the largest city in Ivory Coast and is officially designated as the economic capital.
2,Abu Dhabi,United Arab Emirates,Asia,
3,Abuja,Nigeria,Africa,Lagos was the capital from 1914 to 1991.
4,Accra,Ghana,Africa,
5,Adamstown,Pitcairn Islands,Oceania,British Overseas Territory.
6,Addis Ababa,Ethiopia,Africa,
7,"Aden (de facto, temporary)",Yemen,Asia,"Yemen is in a state of civil war, and Sanaa has been occupied by Houthi rebels since September 2014. Aden, the former capital of South Yemen, is Yemen's acting capital."
8,Sanaa (de jure),Yemen,Asia,"Yemen is in a state of civil war, and Sanaa has been occupied by Houthi rebels since September 2014. Aden, the former capital of South Yemen, is Yemen's acting capital."
9,Episkopi Cantonment,Akrotiri and Dhekelia,Asia,British Overseas Territory.
10,Algiers,Algeria,Africa,
11,Alofi,Niue,Oceania,Self-governing in free association with New Zealand. Government offices are spread across both Alofi North and Alofi South.
12,Amman,Jordan,Asia,
13,Amsterdam (official),Netherlands,Europe,"The Hague hosts the monarch, government ministries, judiciary and diplomatic missions. See also Capital of the Netherlands."
14,The Hague (de facto),Netherlands,Europe,"The Hague hosts the monarch, government ministries, judiciary and diplomatic missions. See also Capital of the Netherlands."
15,Andorra la Vella,Andorra,Europe,
16,Ankara,Turkey,Asia,"Ankara became capital of the newly-formed Republic of Turkey in 1923, after the Turkish War of Independence. The capital of Turkey's predecessor, the Ottoman Empire, was Constantinople."
17,Antananarivo,Madagascar,Africa,
18,Apia,Samoa,Oceania,
19,Ashgabat,Turkmenistan,Asia,
20,Asmara,Eritrea,Africa,
21,Astana,Kazakhstan,Asia,Astana was named Nur-Sultan from 2019 to 2022. Almaty was the capital of Kazakhstan from 1991 to 1997 and its predecessor the Kazakh SSR from 1929 to 1991.
22,Asunción,Paraguay,South America,
23,Atafu (atoll administration),Tokelau,Oceania,Most populous city and smallest atoll. New Zealand owns Tokelau.
24,Nukunonu (atoll administration),Tokelau,Oceania,Largest atoll. the population of people living there is 531.
25,Fakaofo (atoll administration),Tokelau,Oceania,"Most populous city in this atoll is Fale, Tokelau"
26,Athens,Greece,Europe,
27,Avarua,Cook Islands,Oceania,"Self-governing in free association with New Zealand. The capital is sometimes incorrectly stated as Rarotonga, the island on which Avarua is located."
28,Baghdad,Iraq,Asia,
29,Baku,Azerbaijan,Asia/Europe,
30,Bamako,Mali,Africa,
31,Bandar Seri Begawan,Brunei,Asia,
32,Bangkok,Thailand,Asia,
33,Bangui,Central African Republic,Africa,
34,Banjul,Gambia,Africa,
35,Basseterre,Saint Kitts and Nevis,North America,
36,Beijing,China,Asia,See also: Historical capitals of China.
37,Beirut,Lebanon,Asia,
38,Belgrade,Serbia,Europe,
39,Belmopan,Belize,North America,"Belize City was the capital of Belize's predecessor, British Honduras."
40,Berlin,Germany,Europe,"Bonn was the capital of West Germany and remained the seat of government for reunified Germany until 1999, and is still the primary seat of six ministries. See also Capital of Germany."
41,Bern (de facto),Switzerland,Europe,
42,Bishkek,Kyrgyzstan,Asia,
43,Bissau,Guinea-Bissau,Africa,
44,Bloemfontein (judicial),South Africa,Africa,
45,Cape Town (legislative),South Africa,Africa,
46,Pretoria (executive),South Africa,Africa,
47,Bogotá,Colombia,South America,
